variable_names,hhtotals,hsize,hsize,hsize,hsize,hsize,hsize,hsize,hinc,hinc,hinc,hinc,hinc
variable_categories,1,1,2,3,4,5,6,7,1,2,3,4,5
geo,,,,,,,,,,,,,
4013112504,1076,136,205,213,109,233,118,62,185,396,368,72,55
4013112505,2438,422,395,639,546,221,107,108,503,917,825,99,94
4013112507,746,166,83,135,128,131,55,48,220,321,186,19,0
4013112508,603,85,152,88,129,117,16,16,43,249,259,44,8
4013112509,3150,587,742,643,615,353,182,28,595,861,1147,386,161
4013112510,1242,141,304,134,264,116,158,125,122,172,555,254,139
4013112511,1997,103,382,313,386,322,234,257,155,228,884,390,340
4013112512,695,219,203,68,154,40,11,0,135,326,209,25,0
4013112513,2439,534,404,390,337,409,193,172,355,610,1041,92,341
4013112514,1266,180,308,267,208,119,139,45,139,169,504,247,207
4013112601,892,274,126,132,196,100,43,21,393,215,222,31,31
4013112602,1864,407,341,214,273,325,208,96,654,700,425,23,62
4013112700,1589,337,202,292,274,252,93,139,654,419,376,76,64
4013112900,1936,713,612,186,219,122,84,0,572,602,463,126,173
4013113000,1138,605,431,47,39,0,0,16,176,277,339,89,257
4013113100,1676,1345,265,49,17,0,0,0,640,401,497,65,73
4013113201,820,202,192,102,76,93,98,57,331,241,172,21,55
4013113202,676,191,181,126,77,48,24,29,212,221,182,17,44
4013113203,911,284,300,102,42,94,61,28,259,362,181,55,54
4013113300,1626,610,286,241,157,141,94,97,873,496,175,44,38
4013113400,0,0,0,0,0,0,0,0,0,0,0,0,0
4013113501,1415,370,286,200,164,218,116,61,302,515,495,64,39
4013113502,768,101,134,151,186,82,39,75,215,278,193,53,29
4013113601,1509,308,536,261,235,126,20,23,247,388,647,116,111
4013113602,1135,234,262,223,221,70,66,59,236,546,289,42,22
4013113700,3073,931,951,520,357,154,114,46,538,1114,1086,234,101
4013113801,864,472,234,70,12,0,22,54,139,270,318,85,52
4013113802,0,0,0,0,0,0,0,0,0,0,0,0,0
4013113900,281,28,97,48,37,61,6,4,133,86,47,14,1
4013114000,1053,615,304,14,63,42,0,15,321,264,328,37,103
4013114100,587,365,184,32,6,0,0,0,138,99,75,64,211
4013114200,384,100,39,124,74,25,22,0,135,134,54,16,45
4013114301,190,100,72,15,0,3,0,0,87,53,24,16,10
4013114302,978,336,206,88,99,154,41,54,463,342,121,0,52
4013114401,525,164,125,37,47,96,26,30,185,147,174,11,8
4013114402,565,96,134,142,86,70,10,27,229,186,138,0,12
4013114500,954,231,204,63,176,65,88,127,394,285,224,0,51
4013114600,462,120,65,70,99,49,40,19,137,161,114,50,0
4013114703,251,66,38,39,62,14,17,15,94,106,36,15,0
4013114800,839,152,116,128,126,115,79,123,222,270,221,56,70
4013114900,810,334,224,90,58,34,34,36,417,197,140,19,37
4013115200,790,181,128,157,177,95,31,21,165,276,213,100,36
4013115300,944,368,135,87,104,88,88,74,323,327,218,25,51
4013115400,604,129,110,60,98,112,49,46,164,164,237,18,21
4013115500,942,146,208,144,116,176,57,95,218,255,388,61,20
4013115600,1185,222,258,165,180,139,84,137,141,362,445,140,97
4013115700,1674,140,384,250,338,231,157,174,291,550,512,138,183
4013115801,1265,324,236,172,228,166,81,58,374,400,460,0,31
