hid,sample_geo,gqrtotals,gqtotals
2012000402683.00,700,1,1
2012000403090.00,130,1,1
2012000404050.00,600,1,1
2012000404144.00,400,1,1
2012000404250.00,900,1,1
2012000404369.00,114,1,1
2012000404932.00,100,1,1
2012000405282.00,500,1,1
2012000406134.00,805,1,1
2012000407059.00,129,1,1
2012000407200.00,111,1,1
2012000407683.00,204,1,1
2012000407961.00,103,1,1
2012000408333.00,107,1,1
2012000408804.00,201,1,1
2012000408894.00,114,1,1
2012000409384.00,208,1,1
2012000409838.00,807,1,1
2012000409858.00,400,1,1
2012000409992.00,600,1,1
2012000410252.00,900,1,1
2012000410382.00,209,1,1
2012000410886.00,204,1,1
2012000410974.00,118,1,1
2012000411147.00,800,1,1
2012000411197.00,805,1,1
2012000411391.00,204,1,1
2012000411767.00,119,1,1
2012000411912.00,132,1,1
2012000412151.00,805,1,1
2012000412634.00,300,1,1
2012000414206.00,205,1,1
2012000414602.00,209,1,1
2012000416251.00,300,1,1
2012000416259.00,805,1,1
2012000416492.00,132,1,1
2012000416637.00,126,1,1
2012000416924.00,202,1,1
2012000417389.00,205,1,1
2012000417536.00,133,1,1
2012000417544.00,700,1,1
2012000417751.00,805,1,1
2012000417970.00,202,1,1
2012000418690.00,803,1,1
2012000419309.00,208,1,1
2012000419465.00,119,1,1
2012000420128.00,300,1,1
2012000420445.00,209,1,1
2012000420734.00,800,1,1
2012000420923.00,118,1,1
2012000421228.00,132,1,1
2012000422227.00,116,1,1
2012000422677.00,400,1,1
2012000422886.00,805,1,1
2012000424622.00,207,1,1
2012000424661.00,805,1,1
2012000424826.00,129,1,1
2012000425469.00,400,1,1
2012000426181.00,119,1,1
2012000427354.00,900,1,1
2012000429036.00,134,1,1
2012000429858.00,134,1,1
2012000429953.00,400,1,1
2012000430322.00,400,1,1
2012000430362.00,131,1,1
2012000430422.00,116,1,1
2012000430803.00,134,1,1
2012000431103.00,130,1,1
2012000431121.00,400,1,1
2012000431138.00,134,1,1
2012000431269.00,130,1,1
2012000431474.00,202,1,1
2012000431502.00,805,1,1
2012000432046.00,115,1,1
2012000432748.00,102,1,1
2012000433693.00,300,1,1
2012000434921.00,117,1,1
2012000435263.00,700,1,1
2012000435691.00,207,1,1
2012000436271.00,202,1,1
2012000437318.00,400,1,1
2012000437558.00,116,1,1
2012000440252.00,207,1,1
2012000440303.00,805,1,1
2012000440592.00,128,1,1
2012000441222.00,101,1,1
2012000441997.00,206,1,1
2012000442028.00,805,1,1
2012000442649.00,134,1,1
2012000442829.00,123,1,1
2012000442930.00,119,1,1
2012000444009.00,134,1,1
2012000444091.00,900,1,1
2012000444272.00,119,1,1
2012000445433.00,700,1,1
2012000445865.00,805,1,1
2012000445998.00,204,1,1
2012000446190.00,400,1,1
2012000446195.00,122,1,1
2012000446483.00,500,1,1
2012000447526.00,126,1,1
2012000448024.00,805,1,1
2012000448657.00,115,1,1
2012000449256.00,116,1,1
2012000449354.00,700,1,1
2012000449556.00,206,1,1
2012000450757.00,400,1,1
2012000450975.00,204,1,1
2012000451080.00,900,1,1
2012000453015.00,132,1,1
2012000453198.00,134,1,1
2012000453430.00,205,1,1
2012000453902.00,600,1,1
2012000454001.00,900,1,1
2012000454199.00,805,1,1
2012000454529.00,805,1,1
2012000454534.00,134,1,1
2012000454626.00,125,1,1
2012000454726.00,104,1,1
2012000456335.00,125,1,1
2012000457069.00,102,1,1
2012000458308.00,800,1,1
2012000458445.00,207,1,1
